町丁名,年度,変化率(%),変化タイプ
御領４丁目,2015,12.639405204460965,大幅増加
辛島町,2016,12.550607287449392,大幅増加
佐土原３丁目,2024,12.54237288135593,大幅増加
月出２丁目,2001,12.529002320185615,大幅増加
本山１丁目,2020,12.524850894632205,大幅増加
大江３丁目,2017,12.522907758094073,大幅増加
桜木６丁目,2007,12.5,大幅増加
田崎町,2023,12.5,大幅増加
細工町２丁目,2024,12.5,大幅増加
神水２丁目,1999,12.454212454212454,大幅増加
新大江２丁目,1999,12.429378531073446,大幅増加
飛田３丁目,1999,12.411347517730496,大幅増加
佐土原３丁目,2019,12.406015037593985,大幅増加
馬渡１丁目,1999,12.359550561797752,大幅増加
長嶺西３丁目,2013,12.345679012345679,大幅増加
上熊本２丁目,2018,12.332990750256938,大幅増加
水道町,2002,12.32876712328767,大幅増加
上熊本２丁目,2010,12.324492979719189,大幅増加
近見９丁目,2013,12.307692307692308,大幅増加
桜木３丁目,2000,12.307692307692308,大幅増加
渡鹿９丁目,2015,12.280701754385964,大幅増加
長嶺南３丁目,2006,12.278928751894897,大幅増加
御領６丁目,2008,12.269938650306749,大幅増加
飛田３丁目,2017,12.244897959183673,大幅増加
出仲間４丁目,2004,12.240663900414937,大幅増加
長嶺西３丁目,2003,12.23404255319149,大幅増加
帯山２丁目,2001,12.22301644031451,大幅増加
紺屋町２丁目,2012,12.195121951219512,大幅増加
中江町,2001,12.195121951219512,大幅増加
練兵町,1999,12.18274111675127,大幅増加
出町,2010,12.141280353200882,大幅増加
南熊本３丁目,2018,12.109375,大幅増加
春日３丁目,2024,12.106299212598424,大幅増加
春日６丁目,2011,12.101910828025478,大幅増加
南熊本４丁目,2010,12.033195020746888,大幅増加
薄場町,2023,12.0,大幅増加
近見７丁目,2013,11.992263056092844,大幅増加
健軍５丁目,2010,11.976047904191617,大幅増加
楠６丁目,2009,11.958762886597938,大幅増加
御領４丁目,2000,11.956521739130435,大幅増加
新大江１丁目,2003,11.851851851851853,大幅増加
出仲間４丁目,2003,11.832946635730858,大幅増加
紺屋町１丁目,2012,11.76470588235294,大幅増加
板屋町,1999,11.76470588235294,大幅増加
細工町１丁目,2009,11.76470588235294,大幅増加
横紺屋町,2020,11.76470588235294,大幅増加
平田２丁目,2008,11.73913043478261,大幅増加
月出１丁目,2007,11.737523105360443,大幅増加
春日５丁目,2023,11.732851985559567,大幅増加
武蔵ケ丘９丁目,2008,11.670020120724347,大幅増加
魚屋町１丁目,2024,11.666666666666666,大幅増加
下通２丁目,2015,11.66077738515901,大幅増加
新町２丁目,2017,11.639549436795996,大幅増加
練兵町,2008,11.635220125786164,大幅増加
野中３丁目,2002,11.570247933884298,大幅増加
春日１丁目,2001,11.553784860557768,大幅増加
魚屋町２丁目,2022,11.538461538461538,大幅増加
下南部１丁目,2010,11.526479750778815,大幅増加
魚屋町１丁目,2021,11.475409836065573,大幅増加
飛田町,2007,11.428571428571429,大幅増加
川端町,2011,11.428571428571429,大幅増加
飛田町,2024,11.428571428571429,大幅増加
戸島町,2020,11.374407582938389,大幅増加
湖東１丁目,2023,11.363636363636363,大幅増加
南坪井町,2018,11.324376199616124,大幅増加
細工町５丁目,2005,11.320754716981133,大幅増加
通町,2001,11.320754716981133,大幅増加
呉服町３丁目,2013,11.297071129707113,大幅増加
中江町,2018,11.29032258064516,大幅増加
総数,2000,11.29032258064516,大幅増加
南千反畑町,2005,11.267605633802818,大幅増加
魚屋町３丁目,2022,11.25,大幅増加
上京塚町,2019,11.25,大幅増加
保田窪１丁目,2012,11.226993865030675,大幅増加
南熊本５丁目,2005,11.22244488977956,大幅増加
田迎５丁目,2000,11.185682326621924,大幅増加
出仲間８丁目,2004,11.176470588235295,大幅増加
楠１丁目,2024,11.170212765957446,大幅増加
草葉町,2010,11.157894736842106,大幅増加
上熊本２丁目,2025,11.143131604226705,大幅増加
春日３丁目,2022,11.140235910878113,大幅増加
古大工町,2007,11.11111111111111,大幅増加
田崎町,2009,11.11111111111111,大幅増加
古大工町,2003,11.11111111111111,大幅増加
花畑町,2018,11.11111111111111,大幅増加
慶徳堀町,2011,11.11111111111111,大幅増加
上熊本２丁目,2017,11.073059360730593,大幅増加
井川淵町,2019,11.03448275862069,大幅増加
通町,2024,10.95890410958904,大幅増加
本山町,1999,10.95890410958904,大幅増加
出水２丁目,1999,10.943396226415095,大幅増加
小沢町,2018,10.9375,大幅増加
細工町２丁目,2022,10.909090909090908,大幅増加
山室１丁目,2006,10.881801125703564,大幅増加
飛田４丁目,2003,10.848126232741617,大幅増加
画図町大字重富,2008,10.845481049562682,大幅増加
桜木６丁目,2014,10.81081081081081,大幅増加
飛田町,2011,10.81081081081081,大幅増加
紺屋町３丁目,2024,10.81081081081081,大幅増加
明徳町,2006,10.81081081081081,大幅増加
野田１丁目,2009,10.775862068965516,大幅増加
魚屋町３丁目,2001,10.76923076923077,大幅増加
大江４丁目,2004,10.75268817204301,大幅増加
船場町３丁目,2013,10.69767441860465,大幅増加
田崎町,2002,10.666666666666668,大幅増加
新南部４丁目,2007,10.655737704918032,大幅増加
出水２丁目,2005,10.638297872340425,大幅増加
近見町,2021,10.606060606060606,大幅増加
万町１丁目,2021,10.606060606060606,大幅増加
中江町,2006,10.606060606060606,大幅増加
内坪井町,2011,10.579710144927535,大幅増加
春日７丁目,2001,10.568031704095112,大幅増加
大江４丁目,2003,10.549777117384844,大幅増加
平成３丁目,2007,10.538116591928251,大幅増加
山ノ内３丁目,2021,10.513447432762836,大幅増加
上鍛冶屋町,2019,10.497237569060774,大幅増加
小峯４丁目,2018,10.472972972972974,大幅増加
九品寺４丁目,2013,10.465116279069768,大幅増加
近見町,2006,10.465116279069768,大幅増加
細工町２丁目,2013,10.44776119402985,大幅増加
花立４丁目,2006,10.42654028436019,大幅増加
神水２丁目,2000,10.423452768729643,大幅増加
田迎５丁目,2005,10.420841683366733,大幅増加
細工町２丁目,2008,10.416666666666668,大幅増加
呉服町１丁目,2019,10.38961038961039,大幅増加
本荘３丁目,2010,10.37567084078712,大幅増加
南熊本４丁目,2025,10.362694300518134,大幅増加
上林町,2012,10.344827586206897,大幅増加
万町２丁目,2022,10.344827586206897,大幅増加
小沢町,2017,10.344827586206897,大幅増加
画図町大字下無田,2019,10.32258064516129,大幅増加
水前寺公園,2010,10.278372591006423,大幅増加
新南部２丁目,2022,10.267229254571026,大幅増加
古城町,2019,10.256410256410255,大幅増加
飛田町,2001,10.256410256410255,大幅増加
湖東１丁目,2018,10.256410256410255,大幅増加
山室６丁目,2015,10.21505376344086,大幅増加
紺屋今町,2024,10.126582278481013,大幅増加
城東町,2006,10.1010101010101,大幅増加
平成１丁目,2014,10.077519379844961,大幅増加
秋津３丁目,2004,10.032894736842106,大幅増加
東町２丁目,2005,10.022271714922049,大幅増加
長嶺西１丁目,2013,10.013908205841446,大幅増加
下南部３丁目,1999,10.009910802775025,大幅増加
横紺屋町,2014,10.0,大幅増加
紺屋阿弥陀寺町,2011,10.0,大幅増加
佐土原２丁目,2005,10.0,大幅増加
小峯２丁目,2019,9.990749306197964,大幅増加
月出７丁目,1999,9.967845659163988,大幅増加
飛田２丁目,2000,9.948979591836734,大幅増加
九品寺６丁目,2023,9.946524064171124,大幅増加
船場町２丁目,2024,9.929078014184398,大幅増加
上水前寺１丁目,2016,9.920634920634921,大幅増加
蓮台寺５丁目,2011,9.79020979020979,大幅増加
清水本町,2001,9.75975975975976,大幅増加
江越２丁目,2012,9.740259740259742,大幅増加
飛田２丁目,2003,9.73630831643002,大幅増加
九品寺２丁目,2020,9.724770642201836,大幅増加
野中３丁目,2004,9.722222222222223,大幅増加
御領４丁目,2001,9.70873786407767,大幅増加
横紺屋町,2019,9.67741935483871,大幅増加
上京塚町,2009,9.67741935483871,大幅増加
長嶺南４丁目,2000,9.652996845425868,大幅増加
御領５丁目,2012,9.63718820861678,大幅増加
上京塚町,2018,9.58904109589041,大幅増加
上通町,2015,9.582309582309582,大幅増加
新町１丁目,2011,9.578544061302683,大幅増加
野中３丁目,2009,9.577464788732394,大幅増加
南高江５丁目,2021,9.523809523809524,大幅増加
山崎町,2018,9.523809523809524,大幅増加
船場町２丁目,2011,9.523809523809524,大幅増加
桜木６丁目,2017,9.523809523809524,大幅増加
南熊本２丁目,2019,9.508196721311474,大幅増加
上林町,2024,9.505703422053232,大幅増加
大窪４丁目,2007,9.505703422053232,大幅増加
南熊本２丁目,2014,9.467455621301776,大幅増加
通町,2018,9.45945945945946,大幅増加
古京町,2005,9.45945945945946,大幅増加
坪井２丁目,2002,9.454061251664447,大幅増加
帯山２丁目,2010,9.449354180829369,大幅増加
河原町,2004,9.433962264150944,大幅増加
大江本町,2017,9.421841541755889,大幅増加
佐土原２丁目,2012,9.40766550522648,大幅増加
馬渡２丁目,2002,9.375,大幅増加
春日５丁目,2024,9.36995153473344,大幅増加
保田窪４丁目,2006,9.369676320272573,大幅増加
画図町大字下無田,2020,9.35672514619883,大幅増加
下通２丁目,2025,9.35483870967742,大幅増加
徳王町,2004,9.354604786076868,大幅増加
二本木５丁目,2005,9.33734939759036,大幅増加
本荘４丁目,2025,9.31174089068826,大幅増加
湖東１丁目,2020,9.30232558139535,大幅増加
江越２丁目,2017,9.295774647887324,大幅増加
野田１丁目,2025,9.29203539823009,大幅増加
出仲間９丁目,2017,9.281437125748502,大幅増加
新町４丁目,2003,9.276018099547512,大幅増加
横紺屋町,2009,9.25925925925926,大幅増加
長嶺東５丁目,2002,9.246417013407305,大幅増加
北千反畑町,2025,9.230769230769232,大幅増加
保田窪２丁目,2009,9.213250517598343,大幅増加
九品寺４丁目,2012,9.206349206349207,大幅増加
呉服町２丁目,2004,9.183673469387756,大幅増加
渡鹿９丁目,2002,9.166666666666666,大幅増加
二本木２丁目,2020,9.144893111638956,大幅増加
呉服町２丁目,2010,9.090909090909092,大幅増加
西唐人町,2020,9.090909090909092,大幅増加
近見９丁目,2019,9.090909090909092,大幅増加
薄場町,2011,9.090909090909092,大幅増加
清水万石２丁目,2005,9.090909090909092,大幅増加
慶徳堀町,2004,9.090909090909092,大幅増加
本荘３丁目,2007,9.07258064516129,大幅増加
近見７丁目,2003,9.067357512953368,大幅増加
御領３丁目,2007,9.061224489795919,大幅増加
新市街,2024,9.032258064516128,大幅増加
草葉町,2007,9.018567639257293,大幅増加
魚屋町３丁目,2023,8.98876404494382,大幅増加
飛田４丁目,2010,8.983050847457626,大幅増加
新町３丁目,2000,8.969315499606608,大幅増加
上鍛冶屋町,2015,8.928571428571429,大幅増加
下硯川町,1999,8.927704997573993,大幅増加
中央街,2003,8.895705521472392,大幅増加
白山１丁目,2021,8.89487870619946,大幅増加
出仲間３丁目,2001,8.857142857142856,大幅増加
九品寺６丁目,2007,8.84433962264151,大幅増加
北千反畑町,2007,8.83054892601432,大幅増加
