町丁名,Column_1,Column_2,Column_3
長嶺東７丁目,,,
長嶺東８丁目,,,
長嶺東９丁目,,,
長嶺西１丁目,,,
長嶺西２丁目,,,
長嶺西３丁目,,,
飛田町,,,
飛田１丁目,,,
飛田２丁目,,,
飛田３丁目,,,
飛田４丁目,,,
馬渡１丁目,,,
馬渡２丁目,,,
高平１丁目,,,
高平２丁目,,,
高平３丁目,,,
高橋町１丁目,,,
高橋町２丁目,,,
魚屋町１丁目,,,
魚屋町２丁目,,,
魚屋町３丁目,,,
鳶町１丁目,,,
鳶町２丁目,,,
鶴羽田町,,,
鶴羽田１丁目,,,
鶴羽田２丁目,,,
鶴羽田３丁目,,,
鶴羽田４丁目,,,
鶴羽田５丁目,,,
鹿子木町,,,
鹿帰瀬町,,,
麻生田１丁目,,,
麻生田２丁目,,,
麻生田３丁目,,,
麻生田４丁目,,,
麻生田５丁目,,,
黒髪町大字坪井,,,
黒髪１丁目,,,
黒髪２丁目,,,
黒髪３丁目,,,
黒髪４丁目,,,
黒髪５丁目,,,
黒髪６丁目,【秘匿】室園町（中央区）、黒髪８丁目を含みます,,
黒髪７丁目,,,
黒髪８丁目,【秘匿】黒髪６丁目に含めています,,
龍田弓削１丁目,,,
龍田弓削２丁目,,,
龍田町弓削,【秘匿】弓削５丁目に含めています,,
龍田陳内１丁目,,,
龍田陳内２丁目,,,
龍田陳内３丁目,,,
龍田陳内４丁目,,,
龍田１丁目,,,
龍田２丁目,,,
龍田３丁目,,,
龍田４丁目,,,
龍田５丁目,,,
龍田６丁目,,,
龍田７丁目,,,
龍田８丁目,,,
龍田９丁目,,,
