town,year,event_type,effect_direction,confidence,intensity,lag_t,lag_t1,source_url,source_name,publish_date,_score
戸島町,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
戸島町,2010,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
新屋敷1丁目,2001,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
新屋敷1丁目,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日1丁目,2012,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日1丁目,2012,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日1丁目,2012,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日1丁目,2012,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日2丁目,2014,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日2丁目,2014,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日2丁目,2025,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日2丁目,2025,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2009,employment,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2009,housing,decrease,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2009,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2010,employment,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2010,housing,decrease,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2010,transit,decrease,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2013,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2014,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
春日3丁目,2014,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
