町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
神水本町,1890,877,1013,69,86,90,86,87,59,87,102,136,136,151,167,137,118,114,83,80,51,36,13,2
慶徳堀町,183,82,101,8,7,5,7,14,7,5,14,21,23,18,23,7,13,6,1,2,2,0,0,0
健軍１丁目,1370,615,755,47,77,60,71,88,83,76,77,95,100,102,101,91,74,62,64,43,32,23,4,0
健軍２丁目,1074,502,572,27,51,42,54,67,84,83,65,73,91,78,71,67,66,60,27,32,22,12,2,0
健軍３丁目,2513,1204,1309,89,92,112,125,127,144,143,142,158,200,205,212,193,152,144,103,82,45,35,10,0
健軍４丁目,1888,871,1017,83,75,97,89,96,107,111,119,133,148,131,123,116,113,123,79,68,53,22,2,0
健軍５丁目,200,95,105,8,10,11,12,2,5,7,9,11,23,8,16,14,14,11,15,12,6,4,2,0
健軍本町,2315,1093,1222,77,99,103,148,131,109,110,138,139,179,211,180,173,161,126,91,73,39,24,4,0
小糸山町,613,297,316,68,29,26,23,25,52,61,58,45,54,30,27,17,22,29,22,13,6,4,2,0
幸田１丁目,484,237,247,26,25,31,21,17,24,31,31,27,27,28,34,34,27,36,25,16,15,7,1,1
幸田２丁目,704,344,360,64,25,28,35,51,53,41,45,36,58,49,47,33,29,43,17,24,16,6,3,1
紺屋阿弥陀寺町,13,4,9,2,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,1,3,0,0,0
紺屋今町,89,34,55,3,2,1,3,17,10,7,10,4,5,7,3,2,2,2,7,3,1,0,0,0
紺屋町１丁目,121,57,64,4,5,3,6,10,25,15,11,5,10,12,3,5,5,1,1,0,0,0,0,0
紺屋町２丁目,33,18,15,0,0,1,1,2,7,3,4,2,3,0,2,3,1,1,0,0,2,1,0,0
紺屋町３丁目,114,46,68,5,3,4,1,12,11,10,13,9,13,5,6,4,3,2,1,6,6,0,0,0
子飼本町,576,283,293,13,25,21,32,80,35,32,27,40,33,32,23,28,29,37,24,25,22,14,3,1
国府１丁目,1392,658,734,53,55,51,50,56,72,77,94,75,127,98,94,85,71,106,61,63,60,30,14,0
国府２丁目,1969,845,1124,73,77,94,120,97,79,95,107,108,154,137,124,135,114,135,102,94,60,51,11,2
国府３丁目,2783,1303,1480,107,136,124,147,160,119,126,148,177,230,208,222,185,187,195,114,87,65,38,5,3
国府４丁目,1149,546,603,60,61,50,59,39,53,71,88,78,77,74,76,79,89,81,33,30,27,16,8,0
国府本町,1313,624,689,66,59,67,62,72,70,74,88,93,88,88,87,85,77,86,53,40,36,16,6,0
小沢町,612,274,338,23,26,20,17,48,53,46,35,51,48,45,32,23,23,41,23,25,23,9,0,1
古城町,41,19,22,0,2,1,0,0,2,0,0,1,2,2,7,0,2,4,6,6,5,1,0,0
壺川１丁目,762,360,402,27,34,39,27,33,38,30,34,50,50,53,53,47,52,70,39,37,31,14,2,2
壺川２丁目,700,335,365,24,39,44,38,37,32,46,45,56,51,46,37,42,37,36,21,24,28,13,4,0
湖東１丁目,373,185,188,13,15,20,18,17,20,17,27,28,23,18,31,36,30,19,15,7,9,5,5,0
