町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
桜木３丁目,897,434,463,54,56,69,49,32,57,55,73,67,65,66,52,55,31,36,32,28,12,5,1,2
桜木４丁目,1421,705,716,91,88,74,94,94,90,105,100,104,97,108,105,85,46,56,39,32,9,1,1,2
桜木５丁目,813,379,434,56,63,52,48,33,51,49,82,81,44,49,47,41,35,34,29,9,7,3,0,0
桜木６丁目,40,20,20,1,1,1,2,2,1,2,2,2,4,3,1,2,1,5,4,3,2,1,0,0
桜町,278,120,158,4,2,7,12,20,32,18,18,22,12,20,19,24,23,13,14,8,8,0,2,0
佐土原１丁目,1699,808,891,67,75,108,132,115,85,81,96,126,157,163,129,128,78,61,38,30,20,6,4,0
佐土原２丁目,287,140,147,13,16,16,31,10,4,17,15,21,29,15,14,25,23,14,8,7,5,4,0,0
佐土原３丁目,128,61,67,7,11,7,4,6,6,9,11,5,8,8,10,10,6,7,7,2,3,0,0,1
三郎１丁目,1276,600,676,50,46,71,69,65,83,80,91,79,63,93,113,108,61,68,46,46,34,8,2,0
三郎２丁目,864,395,469,37,38,43,34,22,42,40,57,54,47,53,44,69,52,53,78,64,32,4,1,0
島崎１丁目,2754,1236,1518,151,146,145,139,147,191,214,202,212,198,174,160,150,128,115,126,80,46,21,8,1
島崎２丁目,2736,1269,1467,142,149,142,143,142,163,190,206,197,182,153,180,217,126,124,117,74,56,23,6,4
島崎３丁目,1290,593,697,61,56,59,44,54,56,70,88,74,72,69,96,121,91,74,64,70,39,20,9,3
島崎４丁目,1015,473,542,32,55,69,59,36,53,55,84,86,62,66,77,72,39,44,47,32,31,8,7,1
島崎５丁目,1778,809,969,66,62,82,80,87,103,100,110,92,101,112,151,181,107,97,85,99,40,17,5,1
島崎６丁目,1859,793,1066,85,81,85,82,88,111,116,125,99,88,96,126,167,104,111,94,79,70,32,15,5
島崎７丁目,654,313,341,22,19,23,35,32,25,32,37,30,37,42,70,99,36,46,31,23,8,6,0,1
清水亀井町,1118,497,621,72,76,113,105,43,44,73,91,85,61,49,57,62,53,37,43,30,17,4,3,0
清水東町,1306,612,694,69,60,56,40,65,90,103,95,73,68,86,59,91,73,81,84,55,36,13,8,1
清水本町,1533,715,818,67,67,87,75,55,95,108,118,95,103,95,103,129,70,75,70,63,34,17,3,4
清水町大字打越,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清水町大字松崎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清水町大字室園,16,9,7,2,1,2,0,0,0,1,5,2,0,0,0,2,1,0,0,0,0,0,0,0
清水万石１丁目,834,384,450,33,25,42,47,35,38,69,65,54,51,43,54,70,64,57,46,20,12,6,2,1
清水万石２丁目,176,74,102,8,6,3,14,8,7,6,13,10,13,7,9,16,13,14,10,10,6,2,1,0
清水万石３丁目,525,244,281,11,14,24,28,22,16,33,27,37,27,34,38,55,35,42,31,30,16,4,1,0
清水万石４丁目,1072,481,591,49,60,64,47,36,53,68,71,71,57,63,55,79,88,71,55,44,31,6,3,1
清水万石５丁目,1223,590,633,82,59,71,62,91,105,97,93,79,84,92,89,82,42,38,25,13,12,4,2,1
下硯川町,1087,529,558,58,43,53,68,64,96,65,64,76,65,80,78,87,54,50,38,24,13,7,4,0
下通１丁目,168,78,90,3,2,8,4,7,8,9,12,7,10,14,12,12,15,13,15,7,8,1,1,0
下通２丁目,276,130,146,11,1,1,5,16,23,21,20,13,20,22,22,26,9,15,22,5,20,2,2,0
下南部１丁目,327,162,165,26,6,8,7,12,40,26,28,24,12,11,15,29,29,16,21,5,8,3,1,0
下南部２丁目,1575,753,822,89,113,97,72,78,127,121,120,92,84,111,94,106,74,74,56,36,23,6,1,1
下南部３丁目,1281,618,663,82,64,57,61,54,105,104,125,90,87,74,84,93,46,50,44,38,18,4,1,0
十禅寺１丁目,597,292,305,32,27,44,32,27,27,59,58,50,39,31,26,43,29,20,21,17,10,4,0,1
十禅寺２丁目,672,334,338,43,29,25,28,31,37,48,57,52,40,32,36,55,43,28,46,22,13,7,0,0
十禅寺３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
城山上代町,151,64,87,2,3,7,5,5,5,4,5,6,2,9,12,4,8,14,8,19,12,18,2,1
城東町,991,475,516,19,27,38,51,34,40,36,52,40,64,56,90,99,75,68,77,60,38,20,6,1
昭和町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
