町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
佐土原３丁目,996,474,522,92,122,102,78,29,26,59,108,93,106,64,21,23,17,20,12,11,8,2,3,0
三郎１丁目,1132,521,611,28,37,28,39,69,54,37,46,49,71,85,80,83,85,96,85,58,62,24,13,3
三郎２丁目,847,397,450,30,40,38,34,40,41,26,33,55,61,50,56,50,68,49,44,46,37,40,9,0
島崎１丁目,2380,1063,1317,118,88,102,88,145,143,145,149,145,167,169,157,157,126,147,119,94,69,33,17,2
島崎２丁目,2575,1181,1394,109,98,98,103,149,149,160,128,158,170,194,182,160,134,173,127,128,85,54,12,4
島崎３丁目,1149,527,622,40,49,51,63,41,40,37,50,73,77,74,62,70,78,108,92,64,41,27,11,1
島崎４丁目,900,415,485,27,40,49,40,48,30,32,43,53,64,83,70,53,57,75,52,24,25,25,9,1
島崎５丁目,1726,822,904,66,69,79,78,57,58,64,94,135,120,110,105,103,118,151,128,80,55,33,20,3
島崎６丁目,1286,537,749,49,43,49,49,49,59,55,53,74,90,73,65,74,86,114,104,73,64,43,17,3
島崎７丁目,551,261,290,6,7,15,18,21,9,17,13,25,30,30,26,52,45,85,70,30,29,20,2,1
清水亀井町,606,259,347,15,31,27,36,19,26,18,27,28,30,39,50,28,37,54,66,33,26,12,4,0
清水東町,1402,659,743,59,70,62,63,73,84,90,89,91,89,108,90,84,70,65,78,58,44,24,11,0
清水本町,1393,660,733,46,50,70,68,77,83,76,59,94,108,98,98,87,85,90,75,48,45,21,11,4
清水町大字打越,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清水町大字松崎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清水町大字室園,25,15,10,2,2,0,3,1,0,0,0,2,3,6,1,2,0,1,2,0,0,0,0,0
清水万石１丁目,780,361,419,31,26,26,26,43,44,47,38,34,54,57,61,49,46,47,63,41,32,12,2,1
清水万石２丁目,129,62,67,5,2,6,3,5,4,7,5,5,3,15,11,9,9,7,11,12,7,3,0,0
清水万石３丁目,535,237,298,22,22,25,15,23,19,26,31,26,40,31,38,30,34,41,44,25,25,12,4,2
清水万石４丁目,934,414,520,51,34,41,61,48,30,26,49,52,56,66,59,51,55,72,72,55,39,11,4,2
清水万石５丁目,1037,499,538,36,33,35,54,64,72,80,50,56,73,65,65,76,77,82,58,31,18,7,5,0
下硯川町,1050,504,546,49,34,46,41,67,81,96,54,61,55,53,61,69,77,70,56,39,27,12,2,0
下通１丁目,111,55,56,2,7,2,3,2,7,3,3,8,5,8,8,10,11,7,9,6,5,5,0,0
下通２丁目,310,131,179,3,2,4,6,30,39,28,23,31,24,15,11,19,19,14,8,13,8,7,4,2
下南部１丁目,304,151,153,16,8,9,12,20,23,19,18,28,20,17,20,17,15,13,17,16,12,3,0,1
下南部２丁目,1226,611,615,45,57,61,60,69,60,65,71,86,80,86,72,77,73,89,78,58,23,11,4,1
下南部３丁目,1445,723,722,71,46,46,61,93,139,118,84,106,110,94,98,91,65,91,49,34,25,19,5,0
十禅寺１丁目,540,259,281,18,27,20,33,28,32,29,27,29,37,63,34,40,24,31,27,20,13,7,1,0
十禅寺２丁目,602,293,309,18,24,19,31,27,32,31,33,36,45,35,46,46,27,48,35,28,25,9,5,2
十禅寺３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
城山上代町,160,65,95,9,10,5,2,3,5,9,10,8,4,6,4,3,10,14,10,18,12,15,3,0
城東町,720,341,379,14,21,18,18,20,29,16,23,26,45,40,46,47,73,86,77,52,37,25,5,2
昭和町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白石町,387,181,206,25,12,12,17,16,16,13,36,20,20,25,27,18,32,25,27,22,14,6,3,1
新大江１丁目,1649,767,882,26,57,73,87,113,108,83,74,95,94,138,115,126,121,114,101,63,34,18,8,1
