人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
妙体寺町,431.0,196.0,235.0,15.0,27.0,29.0,35.0,81.0,44.0,29.0,24.0,39.0,49.0,35.0,27.0,31.0,31.0,55.0,40.0,18.0,12.0,4.0,0.0,2.0
迎町１丁目,629.0,282.0,347.0,38.0,27.0,39.0,35.0,116.0,98.0,69.0,72.0,63.0,66.0,81.0,50.0,40.0,34.0,32.0,24.0,12.0,8.0,2.0,5.0,0.0
迎町２丁目,275.0,131.0,144.0,10.0,16.0,17.0,18.0,26.0,25.0,24.0,19.0,34.0,27.0,34.0,34.0,46.0,26.0,20.0,11.0,6.0,7.0,4.0,2.0,0.0
武蔵ケ丘１丁目,750.0,353.0,397.0,82.0,65.0,61.0,62.0,90.0,68.0,76.0,77.0,69.0,58.0,100.0,80.0,64.0,58.0,49.0,20.0,8.0,14.0,2.0,0.0,0.0
武蔵ケ丘２丁目,834.0,398.0,436.0,56.0,57.0,72.0,77.0,84.0,97.0,82.0,62.0,51.0,77.0,90.0,116.0,130.0,77.0,46.0,25.0,17.0,12.0,4.0,0.0,0.0
武蔵ケ丘３丁目,697.0,340.0,357.0,60.0,46.0,51.0,75.0,80.0,94.0,49.0,49.0,50.0,74.0,114.0,100.0,90.0,45.0,21.0,24.0,7.0,6.0,2.0,0.0,0.0
武蔵ケ丘４丁目,1009.0,488.0,521.0,92.0,75.0,70.0,80.0,126.0,132.0,106.0,105.0,75.0,105.0,132.0,141.0,102.0,79.0,29.0,26.0,10.0,8.0,4.0,0.0,0.0
武蔵ケ丘５丁目,798.0,386.0,412.0,21.0,41.0,57.0,51.0,81.0,70.0,54.0,43.0,52.0,59.0,121.0,152.0,146.0,124.0,54.0,23.0,23.0,9.0,2.0,1.0,0.0
武蔵ケ丘６丁目,1077.0,510.0,567.0,121.0,128.0,146.0,93.0,68.0,108.0,145.0,160.0,152.0,141.0,81.0,89.0,48.0,39.0,30.0,21.0,6.0,10.0,1.0,0.0,0.0
武蔵ケ丘７丁目,937.0,447.0,490.0,166.0,108.0,124.0,126.0,65.0,109.0,145.0,134.0,116.0,107.0,65.0,41.0,25.0,21.0,9.0,16.0,4.0,2.0,1.0,0.0,0.0
