人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
湖東１丁目（中央区）,98,44,54,8,17,8,10,2,5,7,10,16,7,7,6,13,14,3,4,0,3,0,2,0
湖東１丁目（東区）,292,145,147,5,18,21,32,20,23,20,27,24,50,11,40,31,34,33,19,11,9,2,5,2
湖東２丁目,1259,595,664,84,78,94,76,59,72,100,133,118,145,135,105,94,120,111,123,94,72,27,10,4
湖東３丁目,807,382,425,47,51,43,48,39,25,69,59,73,98,78,74,89,68,111,49,73,61,23,8,3
琴平１丁目,762,380,382,32,23,43,47,95,98,76,71,70,64,79,81,44,67,73,44,55,50,26,4,0
琴平２丁目,893,423,470,58,46,38,68,92,99,84,96,86,90,72,68,72,83,110,67,39,32,11,4,1
琴平本町,1385,639,746,57,62,69,92,112,119,108,131,117,141,156,123,115,130,185,115,75,75,33,8,1
呉服町１丁目,84,33,51,4,5,3,4,10,4,4,3,8,14,11,7,1,3,4,8,14,7,3,0,0
呉服町２丁目,337,158,179,25,25,12,11,30,59,53,38,45,40,45,19,16,18,25,19,8,7,0,0,0
呉服町３丁目,353,144,209,37,39,32,15,24,16,39,35,47,43,50,27,24,18,19,17,12,1,2,0,0
米屋町１丁目,464,188,276,11,25,44,47,36,23,19,18,40,56,64,59,64,39,46,29,17,6,9,0,0
米屋町２丁目,267,111,156,14,5,9,3,30,40,30,24,17,27,15,29,31,34,21,16,17,9,7,0,0
米屋町３丁目,219,86,133,2,3,3,15,20,23,31,16,17,29,19,18,24,22,29,20,0,11,3,0,0
御領１丁目,1264,621,643,76,84,75,68,117,86,113,126,137,117,137,115,116,110,132,100,73,54,34,12,3
御領２丁目,1608,748,860,161,129,103,93,110,121,129,191,178,179,168,140,87,117,130,126,98,57,31,7,1
御領３丁目,1357,649,708,97,102,121,93,98,108,99,133,152,139,156,138,84,87,133,118,75,51,13,9,0
御領４丁目,309,147,162,40,19,15,11,24,49,55,21,11,31,27,27,43,18,29,8,18,6,4,0,0
御領５丁目,1289,640,649,135,126,107,72,78,192,156,154,158,161,94,96,71,90,84,71,43,23,16,1,1
御領６丁目,383,218,165,50,14,11,15,43,65,77,41,38,61,28,36,33,24,9,30,5,14,5,2,0
御領７丁目,516,265,251,52,40,32,40,57,83,77,77,59,71,39,36,46,16,23,7,17,7,2,0,0
護藤町,1863,901,962,198,255,182,96,70,102,140,238,202,181,164,129,151,119,181,148,94,75,23,10,6
細工町１丁目,133,64,69,7,13,9,6,18,23,22,20,6,17,9,9,8,6,4,10,3,6,1,0,0
細工町２丁目,56,29,27,0,0,5,3,5,12,2,7,7,5,5,8,7,6,5,2,6,0,0,0,0
細工町３丁目,147,63,84,7,3,9,2,12,9,6,12,8,18,22,16,18,10,16,11,16,13,0,2,0
細工町４丁目,200,83,117,0,10,12,10,13,8,7,18,10,18,31,22,13,26,31,24,11,13,3,2,1
細工町５丁目,51,21,30,3,2,1,3,3,0,7,3,8,6,5,7,5,7,6,3,2,1,0,0,0
栄町,416,182,234,13,19,32,34,27,17,20,29,36,29,43,36,45,51,59,33,31,21,17,5,1
桜木１丁目,851,396,455,68,89,66,60,59,70,68,97,81,91,95,103,67,63,61,35,33,26,9,5,1
桜木２丁目,778,366,412,58,85,68,63,70,59,59,73,75,79,52,67,61,48,64,51,49,41,14,6,2
