町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
清水万石１丁目,890.0,399.0,491.0,34.0,51.0,43.0,37.0,51.0,72.0,73.0,65.0,57.0,45.0,53.0,71.0,58.0,55.0,57.0,25.0,17.0,17.0,6.0,3.0,0.0
清水万石２丁目,219.0,104.0,115.0,9.0,5.0,12.0,11.0,19.0,7.0,17.0,12.0,16.0,12.0,13.0,17.0,11.0,17.0,14.0,10.0,9.0,5.0,2.0,1.0,0.0
清水万石３丁目,593.0,284.0,309.0,25.0,28.0,30.0,28.0,22.0,43.0,39.0,32.0,27.0,33.0,37.0,60.0,35.0,40.0,41.0,37.0,21.0,8.0,4.0,3.0,0.0
清水万石４丁目,1093.0,494.0,599.0,43.0,59.0,56.0,50.0,43.0,64.0,77.0,73.0,71.0,66.0,53.0,72.0,89.0,81.0,67.0,59.0,37.0,19.0,11.0,3.0,0.0
清水万石５丁目,195.0,106.0,89.0,35.0,23.0,9.0,6.0,7.0,20.0,36.0,35.0,8.0,7.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
下硯川町,2604.0,1255.0,1349.0,158.0,125.0,145.0,171.0,183.0,229.0,209.0,191.0,158.0,191.0,178.0,215.0,131.0,97.0,79.0,54.0,45.0,33.0,9.0,3.0,0.0
下通１丁目,189.0,95.0,94.0,5.0,4.0,4.0,5.0,5.0,6.0,21.0,11.0,11.0,13.0,12.0,16.0,13.0,16.0,16.0,13.0,11.0,4.0,2.0,1.0,0.0
下通２丁目,292.0,142.0,150.0,7.0,9.0,3.0,9.0,18.0,27.0,22.0,12.0,11.0,24.0,20.0,29.0,16.0,19.0,20.0,10.0,18.0,8.0,9.0,1.0,0.0
下南部１丁目,349.0,173.0,176.0,26.0,7.0,8.0,8.0,27.0,41.0,44.0,32.0,11.0,9.0,15.0,32.0,24.0,18.0,19.0,13.0,8.0,6.0,1.0,0.0,0.0
下南部２丁目,1528.0,752.0,776.0,96.0,106.0,70.0,88.0,107.0,116.0,143.0,106.0,87.0,96.0,100.0,123.0,70.0,71.0,53.0,48.0,29.0,12.0,4.0,2.0,1.0
下南部３丁目,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
十禅寺１丁目,584.0,283.0,301.0,34.0,37.0,29.0,27.0,27.0,30.0,63.0,53.0,34.0,43.0,27.0,53.0,28.0,25.0,28.0,19.0,13.0,8.0,4.0,2.0,0.0
十禅寺２丁目,673.0,326.0,347.0,36.0,28.0,28.0,22.0,44.0,60.0,59.0,56.0,38.0,33.0,32.0,58.0,38.0,36.0,42.0,29.0,16.0,12.0,5.0,0.0,1.0
